,題目,A,B,C,D,答案
0,《火影忍者》中，宇智波佐助最初的目標是什麼？,成為火影,打敗鳴人,復仇,成為最強忍者,C
1,在中忍考試中，鳴人使用了哪一招打敗了日向寧次？,千鳥,龍火之術,影分身之術,螺旋丸,D
2,小櫻在成為醫療忍者之前，向哪位老師學習醫療忍術？,自來也,綱手,大蛇丸,卡卡西,B
3,哪位角色被稱為“木葉的黃色閃光”？,宇智波斑,波風湊,自來也,大蛇丸,B
4,《火影忍者》中，尾獸共有幾尾？,7尾,9尾,8尾,10尾,B
5,鳴人小時候最喜歡吃什麼食物？,壽司,拉麵,烤肉,章魚燒,B
6,卡卡西的左眼擁有什麼特殊能力？,輪迴眼,白眼,寫輪眼,木遁,C
7,誰是鳴人的師父，教會了他螺旋丸？,自來也,綱手,大蛇丸,卡卡西,A
8,哪一場戰鬥讓鳴人第一次使用了九尾查克拉？,鳴人 vs. 佐助,鳴人 vs. 我愛羅,鳴人 vs. 白,鳴人 vs. 鬼鮫,C
9,佐助的哥哥宇智波鼬曾是忍者組織中的一員，這個組織的名字是什麼？,曉,音忍,根,雲忍,A
10,鳴人的父親波風湊是哪一代火影？,初代火影,二代火影,三代火影,四代火影,D
11,在《火影忍者》中，哪位角色擁有“屍骨脈”血繼限界？,君麻呂,白,鬼鮫,佐助,A
12,鳴人從哪一位尾獸那裡獲得了力量？,二尾,八尾,九尾,七尾,C
13,自來也是傳說中的三忍之一，他的外號是什麼？,木葉白牙,仙人,蛇仙,好色仙人,D
14,宇智波一族的瞳術“萬花筒寫輪眼”需要什麼才能覺醒？,打敗強敵,受到強烈的情感刺激,完成忍者試煉,修煉多年,B
15,哪位角色以“陰遁雷派”聞名於忍界？,宇智波斑,初代火影,千手柱間,佩恩,D
16,小櫻的查克拉屬性是什麼？,火,風,水,土,C
17,哪位角色被稱為“影子操縱者”？,日向寧次,鹿丸,佐井,丁次,B
18,在《火影忍者》中，哪位角色是體術的專家？,旗木卡卡西,我愛羅,李洛克,佐助,C
19,哪個忍者村發明了“雷遁查克拉模式”？,霧隱村,雲隱村,砂隱村,木葉村,B
20,《火影忍者》中，誰是佐助的最佳朋友兼對手？,小櫻,卡卡西,鳴人,鹿丸,C
21,在《火影忍者》中，宇智波斑最終被哪一個角色打敗？,鳴人,佐助,卡卡西,黑絕,D
22,誰是最終的反派角色，在最終戰中與鳴人和佐助對決？,斑,大筒木輝夜,佩恩,大蛇丸,B
23,哪位角色是第三代火影的孫子？,木葉丸,牙,志乃,丁次,A
24,哪個角色創立了“月讀”幻術？,宇智波斑,宇智波鼬,佐助,宇智波止水,B
25,哪位角色使用了“八門遁甲”最終技“夜凱”？,卡卡西,佐助,邁特凱,李洛克,C
26,鳴人的母親漩渦玖辛奈來自哪個忍者家族？,宇智波一族,日向一族,砂隱村,漩渦一族,D
27,大蛇丸的最終目標是什麼？,統治忍界,研究所有忍術,成為火影,復仇,B
28,哪個角色最早學會了“影分身之術”？,佐助,卡卡西,鳴人,小櫻,C
29,旗木卡卡西的父親被稱為什麼？,木葉白牙,黃閃光,木葉英雄,雷遁天才,A
30,哪一場戰鬥讓佐助覺醒了“永恆萬花筒寫輪眼”？,與鳴人的決鬥,與鼬的對決,與斑的戰鬥,與佩恩的戰鬥,B
31,哪位忍者擁有“白眼”？,佐井,牙,日向雛田,我愛羅,C
32,在第四次忍界大戰中，哪個角色最早成為了十尾人柱力？,鳴人,斑,佐助,帶土,D
33,宇智波鼬對佐助使用了哪一種瞳術來保護他？,月讀,天照,别天神,伊邪那岐,C
34,哪個組織的成員都穿著黑底紅雲的服裝？,音忍村,曉,根,雲隱村,B
35,鳴人最終成為了第幾代火影？,五代,六代,七代,八代,C
36,哪一種動物是自來也的召喚獸？,蛇,狗,蛤蟆,老虎,C
37,小櫻的最強攻擊技能是什麼？,瞬身之術,查克拉刀,醫療忍術,怒擊百豪拳,D
38,佐助的“千鳥”是跟誰學習的？,自來也,大蛇丸,卡卡西,鳴人,C
39,在《火影忍者》中，誰曾是第二代火影的徒弟？,大蛇丸,綱手,自來也,猿飛日斬,D
40,在第四次忍界大戰中，哪個角色與鳴人聯手打敗了宇智波斑？,佐助,卡卡西,我愛羅,邁特凱,A
41,哪位角色最擅長使用傀儡術？,佐井,大蛇丸,勘九郎,日向寧次,C
42,大蛇丸曾經是誰的弟子？,鳴人,三代火影,四代火影,二代火影,B
43,哪個角色是九尾查克拉的另一半？,佐助,波風湊,鳴人,黑鳴人,B
44,哪位角色的血繼限界是“熔遁”？,我愛羅,照美冥,佐助,迪達拉,B
45,第四次忍界大戰中，哪位角色解除了“穢土轉生”的術？,自來也,宇智波鼬,大蛇丸,佐助,B
